party_1	party_2	fj_avg	bc_avg	fj_real	bc_real
-1	-1	1.000000	1.000000	0.000000	0.000000
-1	Parti socialiste	0.989474	0.994709	0.000000	0.000000
-1	Bündnis 90/Die Grünen	0.985965	0.992933	0.000000	0.000000
-1	Partito Democratico	0.975779	0.987741	0.000000	0.000000
-1	Platforma Obywatelska	0.972318	0.985965	0.000000	0.000000
-1	Forza Italia	0.965398	0.982394	0.000000	0.000000
-1	Sozialdemokratische Partei Deutschlands	0.965398	0.982394	0.000000	0.000000
-1	random-large	0.959044	0.979094	0.000000	0.000000
-1	Sozialdemokratische Partei Österreichs	0.957895	0.978495	0.000000	0.000000
-1	Independent	0.954386	0.976661	0.000000	0.000000
-1	Labour Party	0.948097	0.973357	0.000000	0.000000
-1	Socialdemokratiet	0.696113	0.820833	0.000000	0.000000
-1	Nea Demokratia	0.693662	0.819127	0.000000	0.000000
-1	Front de Gauche	0.560137	0.718062	0.000000	0.000000
-1	Prawo i Sprawiedliwość	0.545455	0.705882	0.000000	0.000000
-1	DIE LINKE.	0.000000	0.000000	0.000000	0.000000
-1	Front national	0.000000	0.000000	0.000000	0.000000
-1	Lega Nord	0.000000	0.000000	0.000000	0.000000
-1	PODEMOS	0.000000	0.000000	0.000000	0.000000
-1	Partidul Naţional Liberal	0.000000	0.000000	0.000000	0.000000
-1	Slovenska demokratska stranka	0.000000	0.000000	0.000000	0.000000
Arbetarepartiet- Socialdemokraterna	Arbetarepartiet- Socialdemokraterna	1.000000	1.000000	0.000000	0.000000
Arbetarepartiet- Socialdemokraterna	Partij van de Arbeid	0.951493	0.975143	0.000000	0.000000
Arbetarepartiet- Socialdemokraterna	Partido Socialista Obrero Espanol	0.944853	0.971645	0.000000	0.000000
Arbetarepartiet- Socialdemokraterna	Independent	0.928058	0.962687	0.000000	0.000000
Arbetarepartiet- Socialdemokraterna	Democraten 66	0.927798	0.962547	0.000000	0.000000
Arbetarepartiet- Socialdemokraterna	Österreichische Volkspartei	0.927798	0.962547	0.000000	0.000000
Arbetarepartiet- Socialdemokraterna	Les Républicains	0.927536	0.962406	0.000000	0.000000
