party_1	party_2	fj_avg	bc_avg	fj_real	bc_real
-1	-1	1.000000	1.000000	0.000000	0.000000
-1	Bündnis 90/Die Grünen	0.971731	0.985663	0.000000	0.000000
-1	Conservative Party	0.951389	0.975089	0.000000	0.000000
-1	Sozialdemokratische Partei Deutschlands	0.950178	0.974453	0.000000	0.000000
-1	Partito Democratico	0.943860	0.971119	0.000000	0.000000
-1	Sozialdemokratische Partei Österreichs	0.939716	0.968921	0.000000	0.000000
-1	Labour Party	0.936620	0.967273	0.000000	0.000000
-1	Partij van de Arbeid	0.932862	0.965265	0.000000	0.000000
-1	Parti socialiste	0.932624	0.965138	0.000000	0.000000
-1	Partija 'VIENOTIBA'	0.926316	0.961749	0.000000	0.000000
-1	Partido Socialista Obrero Espanol	0.918728	0.957643	0.000000	0.000000
-1	Arbetarepartiet- Socialdemokraterna	0.893238	0.943609	0.000000	0.000000
-1	Citizens for European Development of Bulgaria	0.892857	0.943396	0.000000	0.000000
-1	Platforma Obywatelska	0.891228	0.942486	0.000000	0.000000
-1	Movimento 5 Stelle	0.887719	0.940520	0.000000	0.000000
-1	Forza Italia	0.880282	0.936330	0.000000	0.000000
-1	Les Républicains	0.880282	0.936330	0.000000	0.000000
-1	Österreichische Volkspartei	0.879859	0.936090	0.000000	0.000000
-1	Democraten 66	0.876761	0.934334	0.000000	0.000000
-1	Die Grünen - Die Grüne Alternative	0.871886	0.931559	0.000000	0.000000
-1	Moderaterna	0.868327	0.929524	0.000000	0.000000
-1	Christen Democratisch Appel	0.859649	0.924528	0.000000	0.000000
-1	Independent	0.851064	0.919540	0.000000	0.000000
-1	Europe Écologie	0.846975	0.917148	0.000000	0.000000
-1	Christlich Demokratische Union Deutschlands	0.838596	0.912214	0.000000	0.000000
-1	Partido Popular	0.837456	0.911538	0.000000	0.000000
-1	Mouvement Démocrate	0.822695	0.902724	0.000000	0.000000
-1	Kansallinen Kokoomus	0.803571	0.891089	0.000000	0.000000
-1	Fine Gael Party	0.769504	0.869739	0.000000	0.000000
-1	Nea Demokratia	0.756272	0.861224	0.000000	0.000000
Arbetarepartiet- Socialdemokraterna	Arbetarepartiet- Socialdemokraterna	1.000000	1.000000	0.000000	0.000000
Arbetarepartiet- Socialdemokraterna	Parti socialiste	0.944030	0.971209	0.000000	0.000000
Arbetarepartiet- Socialdemokraterna	Sozialdemokratische Partei Deutschlands	0.940741	0.969466	0.000000	0.000000
Arbetarepartiet- Socialdemokraterna	Partido Socialista Obrero Espanol	0.936567	0.967245	0.000000	0.000000
Arbetarepartiet- Socialdemokraterna	Labour Party	0.933824	0.965779	0.000000	0.000000
Arbetarepartiet- Socialdemokraterna	Partito Democratico	0.920290	0.958491	0.000000	0.000000
Arbetarepartiet- Socialdemokraterna	Partij van de Arbeid	0.894928	0.944551	0.000000	0.000000
Arbetarepartiet- Socialdemokraterna	Sozialdemokratische Partei Österreichs	0.894928	0.944551	0.000000	0.000000
Arbetarepartiet- Socialdemokraterna	-1	0.893238	0.943609	0.000000	0.000000
Arbetarepartiet- Socialdemokraterna	Conservative Party	0.887719	0.940520	0.000000	0.000000
Arbetarepartiet- Socialdemokraterna	Bündnis 90/Die Grünen	0.886926	0.940075	0.000000	0.000000
Arbetarepartiet- Socialdemokraterna	Forza Italia	0.881919	0.937255	0.000000	0.000000
Arbetarepartiet- Socialdemokraterna	Platforma Obywatelska	0.879562	0.935922	0.000000	0.000000
Arbetarepartiet- Socialdemokraterna	Moderaterna	0.876404	0.934132	0.000000	0.000000
Arbetarepartiet- Socialdemokraterna	Les Républicains	0.875000	0.933333	0.000000	0.000000
Arbetarepartiet- Socialdemokraterna	Österreichische Volkspartei	0.874539	0.933071	0.000000	0.000000
Arbetarepartiet- Socialdemokraterna	Citizens for European Development of Bulgaria	0.874074	0.932806	0.000000	0.000000
Arbetarepartiet- Socialdemokraterna	Democraten 66	0.871324	0.931238	0.000000	0.000000
