party_1	eu_2	fj_avg	bc_avg	fj_real	bc_real
-1	Greens/EFA	0.954064	0.976492	0.000000	0.000000
-1	EPP	0.944251	0.971326	0.000000	0.000000
-1	ECR	0.937282	0.967626	0.000000	0.000000
-1	EFDD	0.926829	0.962025	0.000000	0.000000
-1	S&D	0.921769	0.959292	0.000000	0.000000
-1	ALDE/ADLE	0.909408	0.952555	0.000000	0.000000
-1	GUE-NGL	0.878049	0.935065	0.000000	0.000000
-1	NI	0.000000	0.000000	0.000000	0.000000
Arbetarepartiet- Socialdemokraterna	ALDE/ADLE	0.920578	0.958647	0.000000	0.000000
Arbetarepartiet- Socialdemokraterna	Greens/EFA	0.897527	0.945996	0.000000	0.000000
Arbetarepartiet- Socialdemokraterna	EPP	0.888502	0.940959	0.000000	0.000000
Arbetarepartiet- Socialdemokraterna	ECR	0.888112	0.940741	0.000000	0.000000
Arbetarepartiet- Socialdemokraterna	EFDD	0.884211	0.938547	0.000000	0.000000
Arbetarepartiet- Socialdemokraterna	S&D	0.867347	0.928962	0.000000	0.000000
Arbetarepartiet- Socialdemokraterna	GUE-NGL	0.841549	0.913958	0.000000	0.000000
Arbetarepartiet- Socialdemokraterna	NI	0.000000	0.000000	0.000000	0.000000
Bündnis 90/Die Grünen	Greens/EFA	0.964539	0.981949	0.000000	0.000000
Bündnis 90/Die Grünen	EPP	0.940972	0.969589	0.000000	0.000000
Bündnis 90/Die Grünen	ECR	0.940767	0.969479	0.000000	0.000000
Bündnis 90/Die Grünen	S&D	0.925170	0.961131	0.000000	0.000000
Bündnis 90/Die Grünen	EFDD	0.923611	0.960289	0.000000	0.000000
Bündnis 90/Die Grünen	ALDE/ADLE	0.912892	0.954463	0.000000	0.000000
Bündnis 90/Die Grünen	GUE-NGL	0.888112	0.940741	0.000000	0.000000
Bündnis 90/Die Grünen	NI	0.000000	0.000000	0.000000	0.000000
Christen Democratisch Appel	ALDE/ADLE	0.909747	0.952741	0.000000	0.000000
Christen Democratisch Appel	EPP	0.878049	0.935065	0.000000	0.000000
Christen Democratisch Appel	Greens/EFA	0.873684	0.932584	0.000000	0.000000
Christen Democratisch Appel	ECR	0.871080	0.931099	0.000000	0.000000
Christen Democratisch Appel	EFDD	0.867133	0.928839	0.000000	0.000000
Christen Democratisch Appel	S&D	0.857143	0.923077	0.000000	0.000000
Christen Democratisch Appel	GUE-NGL	0.830986	0.907692	0.000000	0.000000
Christen Democratisch Appel	NI	0.000000	0.000000	0.000000	0.000000
Christlich Demokratische Union Deutschlands	ALDE/ADLE	0.916968	0.956685	0.000000	0.000000
Christlich Demokratische Union Deutschlands	EPP	0.885017	0.939002	0.000000	0.000000
Christlich Demokratische Union Deutschlands	ECR	0.871528	0.931354	0.000000	0.000000
Christlich Demokratische Union Deutschlands	S&D	0.863946	0.927007	0.000000	0.000000
Christlich Demokratische Union Deutschlands	Greens/EFA	0.861111	0.925373	0.000000	0.000000
Christlich Demokratische Union Deutschlands	EFDD	0.854671	0.921642	0.000000	0.000000
Christlich Demokratische Union Deutschlands	GUE-NGL	0.831579	0.908046	0.000000	0.000000
Christlich Demokratische Union Deutschlands	NI	0.000000	0.000000	0.000000	0.000000
Christlich-Soziale Union in Bayern e.V.	Greens/EFA	0.961268	0.980251	0.000000	0.000000
Christlich-Soziale Union in Bayern e.V.	EPP	0.958188	0.978648	0.000000	0.000000
Christlich-Soziale Union in Bayern e.V.	ECR	0.951220	0.975000	0.000000	0.000000
Christlich-Soziale Union in Bayern e.V.	EFDD	0.940767	0.969479	0.000000	0.000000
Christlich-Soziale Union in Bayern e.V.	S&D	0.935374	0.966608	0.000000	0.000000
Christlich-Soziale Union in Bayern e.V.	ALDE/ADLE	0.916667	0.956522	0.000000	0.000000
Christlich-Soziale Union in Bayern e.V.	GUE-NGL	0.898601	0.946593	0.000000	0.000000
Christlich-Soziale Union in Bayern e.V.	NI	0.000000	0.000000	0.000000	0.000000
Citizens for European Development of Bulgaria	ALDE/ADLE	0.927798	0.962547	0.000000	0.000000
Citizens for European Development of Bulgaria	EPP	0.895470	0.944853	0.000000	0.000000
Citizens for European Development of Bulgaria	ECR	0.888502	0.940959	0.000000	0.000000
Citizens for European Development of Bulgaria	Greens/EFA	0.878049	0.935065	0.000000	0.000000
Citizens for European Development of Bulgaria	S&D	0.874150	0.932849	0.000000	0.000000
Citizens for European Development of Bulgaria	EFDD	0.871528	0.931354	0.000000	0.000000
Citizens for European Development of Bulgaria	GUE-NGL	0.829268	0.906667	0.000000	0.000000
Citizens for European Development of Bulgaria	NI	0.000000	0.000000	0.000000	0.000000
Conservative Party	ECR	0.947368	0.972973	0.000000	0.000000
Conservative Party	ALDE/ADLE	0.939716	0.968921	0.000000	0.000000
Conservative Party	EPP	0.934028	0.965889	0.000000	0.000000
Conservative Party	EFDD	0.916667	0.956522	0.000000	0.000000
Conservative Party	Greens/EFA	0.916667	0.956522	0.000000	0.000000
Conservative Party	S&D	0.911864	0.953901	0.000000	0.000000
Conservative Party	GUE-NGL	0.881119	0.936803	0.000000	0.000000
Conservative Party	NI	0.000000	0.000000	0.000000	0.000000
DIE LINKE.	ALDE/ADLE	0.000000	0.000000	0.000000	0.000000
DIE LINKE.	ECR	0.000000	0.000000	0.000000	0.000000
DIE LINKE.	EFDD	0.000000	0.000000	0.000000	0.000000
DIE LINKE.	EPP	0.000000	0.000000	0.000000	0.000000
DIE LINKE.	GUE-NGL	0.000000	0.000000	0.000000	0.000000
DIE LINKE.	Greens/EFA	0.000000	0.000000	0.000000	0.000000
DIE LINKE.	NI	-nan	-nan	0.000000	0.000000
DIE LINKE.	S&D	0.000000	0.000000	0.000000	0.000000
Democraten 66	ALDE/ADLE	0.909747	0.952741	0.000000	0.000000
Democraten 66	Greens/EFA	0.886926	0.940075	0.000000	0.000000
Democraten 66	EFDD	0.873684	0.932584	0.000000	0.000000
Democraten 66	EPP	0.871528	0.931354	0.000000	0.000000
Democraten 66	ECR	0.864583	0.927374	0.000000	0.000000
Democraten 66	S&D	0.857143	0.923077	0.000000	0.000000
