name	party	fj_avg	bc_avg
Sylvie GOULARD	Moderaterna	0.978799	0.989286
Sylvie GOULARD	Freie Demokratische Partei	0.975352	0.987522
Sylvie GOULARD	Citizens for European Development of Bulgaria	0.975177	0.987433
Sylvie GOULARD	Kansallinen Kokoomus	0.968750	0.984127
Sylvie GOULARD	Socialdemokratiet	0.968750	0.984127
Sylvie GOULARD	Česká strana sociálně demokratická	0.968310	0.983900
Sylvie GOULARD	Green Party	0.965398	0.982394
Sylvie GOULARD	Sozialdemokratische Partei Österreichs	0.965398	0.982394
Sylvie GOULARD	Partit Nazzjonalista	0.965278	0.982332
Sylvie GOULARD	Nea Demokratia	0.964539	0.981949
Sylvie GOULARD	Democraten 66	0.962069	0.980668
Sylvie GOULARD	Mouvement Démocrate	0.962069	0.980668
Sylvie GOULARD	Partido Popular	0.962069	0.980668
Sylvie GOULARD	Partija 'VIENOTIBA'	0.962069	0.980668
Sylvie GOULARD	Platforma Obywatelska	0.962069	0.980668
Sylvie GOULARD	Christlich-Soziale Union in Bayern e.V.	0.961938	0.980600
Sylvie GOULARD	Arbetarepartiet- Socialdemokraterna	0.958621	0.978873
Sylvie GOULARD	Christen Democratisch Appel	0.952218	0.975524
Sylvie GOULARD	Christlich Demokratische Union Deutschlands	0.952218	0.975524
Sylvie GOULARD	Österreichische Volkspartei	0.952218	0.975524
Beatriz BECERRA BASTERRECHEA	Labour Party	0.996610	0.998302
Beatriz BECERRA BASTERRECHEA	United Kingdom Independence Party	0.989899	0.994924
Beatriz BECERRA BASTERRECHEA	Österreichische Volkspartei	0.989831	0.994889
Beatriz BECERRA BASTERRECHEA	Independent	0.986577	0.993243
Beatriz BECERRA BASTERRECHEA	Partido Socialista Obrero Espanol	0.986577	0.993243
Beatriz BECERRA BASTERRECHEA	Partito Democratico	0.986577	0.993243
Beatriz BECERRA BASTERRECHEA	-1	0.986532	0.993220
Beatriz BECERRA BASTERRECHEA	Forza Italia	0.986486	0.993197
Beatriz BECERRA BASTERRECHEA	Partij van de Arbeid	0.986486	0.993197
Beatriz BECERRA BASTERRECHEA	Sozialdemokratische Partei Deutschlands	0.986486	0.993197
Beatriz BECERRA BASTERRECHEA	Democraten 66	0.986395	0.993151
Beatriz BECERRA BASTERRECHEA	Partija 'VIENOTIBA'	0.986395	0.993151
Beatriz BECERRA BASTERRECHEA	Platforma Obywatelska	0.986395	0.993151
Beatriz BECERRA BASTERRECHEA	Bündnis 90/Die Grünen	0.983165	0.991511
Beatriz BECERRA BASTERRECHEA	Conservative Party	0.983165	0.991511
Beatriz BECERRA BASTERRECHEA	Green Party	0.982993	0.991424
Beatriz BECERRA BASTERRECHEA	Sozialdemokratische Partei Österreichs	0.982993	0.991424
Beatriz BECERRA BASTERRECHEA	Les Républicains	0.979933	0.989865
Beatriz BECERRA BASTERRECHEA	Die Grünen - Die Grüne Alternative	0.979866	0.989831
Beatriz BECERRA BASTERRECHEA	Mouvement Démocrate	0.979661	0.989726
Guy VERHOFSTADT	Mouvement Démocrate	1.000000	1.000000
Guy VERHOFSTADT	Green Party	0.996552	0.998273
Guy VERHOFSTADT	Sozialdemokratische Partei Österreichs	0.996552	0.998273
Guy VERHOFSTADT	Democraten 66	0.993127	0.996552
Guy VERHOFSTADT	Partija 'VIENOTIBA'	0.993127	0.996552
Guy VERHOFSTADT	Platforma Obywatelska	0.993127	0.996552
Guy VERHOFSTADT	Christlich-Soziale Union in Bayern e.V.	0.993103	0.996540
Guy VERHOFSTADT	Partit Nazzjonalista	0.989655	0.994801
Guy VERHOFSTADT	Kansallinen Kokoomus	0.986254	0.993080
Guy VERHOFSTADT	Socialdemokratiet	0.986254	0.993080
Guy VERHOFSTADT	Bündnis 90/Die Grünen	0.983051	0.991453
Guy VERHOFSTADT	Labour Party	0.983051	0.991453
Guy VERHOFSTADT	Christen Democratisch Appel	0.982993	0.991424
Guy VERHOFSTADT	Christlich Demokratische Union Deutschlands	0.982993	0.991424
Guy VERHOFSTADT	Parti socialiste	0.982993	0.991424
Guy VERHOFSTADT	Österreichische Volkspartei	0.982993	0.991424
Guy VERHOFSTADT	Arbetarepartiet- Socialdemokraterna	0.982877	0.991364
Guy VERHOFSTADT	-1	0.979730	0.989761
Guy VERHOFSTADT	Die Grünen - Die Grüne Alternative	0.979730	0.989761
Guy VERHOFSTADT	Sozialdemokratische Partei Deutschlands	0.979661	0.989726
Sophia in 't VELD	Česká strana sociálně demokratická	0.992857	0.996416
Sophia in 't VELD	Citizens for European Development of Bulgaria	0.992832	0.996403
Sophia in 't VELD	Moderaterna	0.989324	0.994633
Sophia in 't VELD	Nea Demokratia	0.989209	0.994575
Sophia in 't VELD	Freie Demokratische Partei	0.978799	0.989286
Sophia in 't VELD	Kansallinen Kokoomus	0.965278	0.982332
Sophia in 't VELD	Prawo i Sprawiedliwość	0.964286	0.981818
Sophia in 't VELD	Democraten 66	0.958621	0.978873
Sophia in 't VELD	Partija 'VIENOTIBA'	0.958621	0.978873
Sophia in 't VELD	Platforma Obywatelska	0.958621	0.978873
Sophia in 't VELD	Partidul Naţional Liberal	0.956835	0.977941
Sophia in 't VELD	Green Party	0.955172	0.977072
Sophia in 't VELD	Sozialdemokratische Partei Österreichs	0.955172	0.977072
Sophia in 't VELD	Partit Nazzjonalista	0.955017	0.976991
Sophia in 't VELD	Slovenska demokratska stranka	0.953405	0.976147
Sophia in 't VELD	Fine Gael Party	0.952055	0.975439
Sophia in 't VELD	Mouvement Démocrate	0.951890	0.975352
Sophia in 't VELD	Partido Popular	0.951890	0.975352
Sophia in 't VELD	Christlich-Soziale Union in Bayern e.V.	0.951724	0.975265
Sophia in 't VELD	Socialdemokratiet	0.951724	0.975265
Petr JEŽEK	Sozialdemokratische Partei Deutschlands	0.996599	0.998296
Petr JEŽEK	Bündnis 90/Die Grünen	0.993220	0.996599
Petr JEŽEK	-1	0.989865	0.994907
Petr JEŽEK	Partij van de Arbeid	0.989831	0.994889
Petr JEŽEK	Democraten 66	0.989761	0.994854
Petr JEŽEK	Partido Popular	0.989761	0.994854
Petr JEŽEK	Partija 'VIENOTIBA'	0.989761	0.994854
Petr JEŽEK	Platforma Obywatelska	0.989761	0.994854
Petr JEŽEK	Christen Democratisch Appel	0.986441	0.993174
Petr JEŽEK	Christlich Demokratische Union Deutschlands	0.986441	0.993174
Petr JEŽEK	Parti socialiste	0.986441	0.993174
Petr JEŽEK	Arbetarepartiet- Socialdemokraterna	0.986348	0.993127
Petr JEŽEK	Green Party	0.986348	0.993127
Petr JEŽEK	Sozialdemokratische Partei Österreichs	0.986348	0.993127
Petr JEŽEK	Independent	0.983221	0.991540
Petr JEŽEK	Les Républicains	0.983221	0.991540
Petr JEŽEK	Partido Socialista Obrero Espanol	0.983221	0.991540
Petr JEŽEK	Partito Democratico	0.983221	0.991540
Petr JEŽEK	Die Grünen - Die Grüne Alternative	0.983165	0.991511
Petr JEŽEK	Forza Italia	0.983108	0.991482
Charles GOERENS	Citizens for European Development of Bulgaria	0.985663	0.992780
Charles GOERENS	Moderaterna	0.982206	0.991023
Charles GOERENS	Česká strana sociálně demokratická	0.978648	0.989209
Charles GOERENS	Nea Demokratia	0.974910	0.987296
Charles GOERENS	Freie Demokratische Partei	0.964789	0.982079
Charles GOERENS	Kansallinen Kokoomus	0.958333	0.978723
Charles GOERENS	Socialdemokratiet	0.958333	0.978723
Charles GOERENS	Green Party	0.955017	0.976991
Charles GOERENS	Sozialdemokratische Partei Österreichs	0.955017	0.976991
Charles GOERENS	Partit Nazzjonalista	0.954861	0.976909
Charles GOERENS	Democraten 66	0.951724	0.975265
