name	eu	fj_avg	bc_avg
Sylvie GOULARD	ALDE/ADLE	0.942953	0.970639
Sylvie GOULARD	ECR	0.942953	0.970639
Sylvie GOULARD	Greens/EFA	0.942953	0.970639
Sylvie GOULARD	S&D	0.942953	0.970639
Sylvie GOULARD	EPP	0.939799	0.968966
Sylvie GOULARD	GUE-NGL	0.939799	0.968966
Sylvie GOULARD	EFDD	0.936455	0.967185
Sylvie GOULARD	NI	0.936455	0.967185
Beatriz BECERRA BASTERRECHEA	ALDE/ADLE	0.986577	0.993243
Beatriz BECERRA BASTERRECHEA	Greens/EFA	0.986577	0.993243
Beatriz BECERRA BASTERRECHEA	S&D	0.986577	0.993243
Beatriz BECERRA BASTERRECHEA	EPP	0.983278	0.991568
Beatriz BECERRA BASTERRECHEA	GUE-NGL	0.983278	0.991568
Beatriz BECERRA BASTERRECHEA	ECR	0.979933	0.989865
Beatriz BECERRA BASTERRECHEA	EFDD	0.979933	0.989865
Beatriz BECERRA BASTERRECHEA	NI	0.979933	0.989865
Guy VERHOFSTADT	ALDE/ADLE	0.963087	0.981197
Guy VERHOFSTADT	ECR	0.963087	0.981197
Guy VERHOFSTADT	Greens/EFA	0.963087	0.981197
Guy VERHOFSTADT	S&D	0.963087	0.981197
Guy VERHOFSTADT	EPP	0.959866	0.979522
Guy VERHOFSTADT	GUE-NGL	0.959866	0.979522
Guy VERHOFSTADT	EFDD	0.956522	0.977778
Guy VERHOFSTADT	NI	0.956522	0.977778
Sophia in 't VELD	ALDE/ADLE	0.966443	0.982935
Sophia in 't VELD	ECR	0.966443	0.982935
Sophia in 't VELD	Greens/EFA	0.966443	0.982935
Sophia in 't VELD	S&D	0.966443	0.982935
Sophia in 't VELD	EPP	0.963211	0.981261
Sophia in 't VELD	GUE-NGL	0.963211	0.981261
Sophia in 't VELD	EFDD	0.959866	0.979522
Sophia in 't VELD	NI	0.959866	0.979522
Petr JEŽEK	ALDE/ADLE	0.983221	0.991540
Petr JEŽEK	ECR	0.983221	0.991540
Petr JEŽEK	Greens/EFA	0.983221	0.991540
Petr JEŽEK	S&D	0.983221	0.991540
Petr JEŽEK	EPP	0.979933	0.989865
Petr JEŽEK	GUE-NGL	0.979933	0.989865
Petr JEŽEK	EFDD	0.976589	0.988156
Petr JEŽEK	NI	0.976589	0.988156
Charles GOERENS	ALDE/ADLE	0.936242	0.967071
Charles GOERENS	ECR	0.936242	0.967071
Charles GOERENS	Greens/EFA	0.936242	0.967071
Charles GOERENS	S&D	0.936242	0.967071
Charles GOERENS	EPP	0.933110	0.965398
Charles GOERENS	GUE-NGL	0.933110	0.965398
Charles GOERENS	EFDD	0.929766	0.963605
Charles GOERENS	NI	0.929766	0.963605
Kaja KALLAS	ALDE/ADLE	0.936242	0.967071
Kaja KALLAS	ECR	0.936242	0.967071
Kaja KALLAS	Greens/EFA	0.936242	0.967071
Kaja KALLAS	S&D	0.936242	0.967071
Kaja KALLAS	EPP	0.933110	0.965398
Kaja KALLAS	GUE-NGL	0.933110	0.965398
Kaja KALLAS	EFDD	0.929766	0.963605
Kaja KALLAS	NI	0.929766	0.963605
Izaskun BILBAO BARANDICA	ALDE/ADLE	0.979866	0.989831
Izaskun BILBAO BARANDICA	ECR	0.979866	0.989831
Izaskun BILBAO BARANDICA	Greens/EFA	0.979866	0.989831
Izaskun BILBAO BARANDICA	S&D	0.979866	0.989831
Izaskun BILBAO BARANDICA	EPP	0.976589	0.988156
Izaskun BILBAO BARANDICA	GUE-NGL	0.976589	0.988156
Izaskun BILBAO BARANDICA	EFDD	0.973244	0.986441
Izaskun BILBAO BARANDICA	NI	0.973244	0.986441
Pavel TELIČKA	ALDE/ADLE	0.963087	0.981197
Pavel TELIČKA	ECR	0.963087	0.981197
Pavel TELIČKA	Greens/EFA	0.963087	0.981197
Pavel TELIČKA	S&D	0.963087	0.981197
Pavel TELIČKA	EPP	0.959866	0.979522
Pavel TELIČKA	GUE-NGL	0.959866	0.979522
Pavel TELIČKA	EFDD	0.956522	0.977778
Pavel TELIČKA	NI	0.956522	0.977778
Angelika MLINAR	ALDE/ADLE	0.946309	0.972414
Angelika MLINAR	ECR	0.946309	0.972414
Angelika MLINAR	Greens/EFA	0.946309	0.972414
Angelika MLINAR	S&D	0.946309	0.972414
Angelika MLINAR	EPP	0.943144	0.970740
Angelika MLINAR	GUE-NGL	0.943144	0.970740
Angelika MLINAR	EFDD	0.939799	0.968966
Angelika MLINAR	NI	0.939799	0.968966
Jens GEIER	ALDE/ADLE	0.963087	0.981197
Jens GEIER	ECR	0.963087	0.981197
Jens GEIER	Greens/EFA	0.963087	0.981197
Jens GEIER	S&D	0.963087	0.981197
Jens GEIER	EPP	0.959866	0.979522
Jens GEIER	GUE-NGL	0.959866	0.979522
Jens GEIER	EFDD	0.956522	0.977778
Jens GEIER	NI	0.956522	0.977778
Philippe DE BACKER	ALDE/ADLE	0.919463	0.958042
Philippe DE BACKER	ECR	0.919463	0.958042
Philippe DE BACKER	Greens/EFA	0.919463	0.958042
Philippe DE BACKER	S&D	0.919463	0.958042
Philippe DE BACKER	EPP	0.916388	0.956370
Philippe DE BACKER	GUE-NGL	0.916388	0.956370
Philippe DE BACKER	EFDD	0.913043	0.954545
Philippe DE BACKER	NI	0.913043	0.954545
Dominique RIQUET	ALDE/ADLE	0.936242	0.967071
Dominique RIQUET	ECR	0.936242	0.967071
Dominique RIQUET	Greens/EFA	0.936242	0.967071
Dominique RIQUET	S&D	0.936242	0.967071
Dominique RIQUET	EPP	0.933110	0.965398
