party_1	party_2	fj_avg	bc_avg	fj_real	bc_real
-1	-1	1.000000	1.000000	1.000000	1.000000
-1	Bündnis 90/Die Grünen	0.996622	0.998308	0.993266	0.996622
-1	Independent	0.993289	0.996633	0.993289	0.996633
-1	Partido Socialista Obrero Espanol	0.993289	0.996633	0.993289	0.996633
-1	Partito Democratico	0.993289	0.996633	0.993289	0.996633
-1	Sozialdemokratische Partei Deutschlands	0.993243	0.996610	0.993266	0.996622
-1	Labour Party	0.989899	0.994924	0.996633	0.998314
-1	Parti socialiste	0.989865	0.994907	0.993266	0.996622
-1	Christen Democratisch Appel	0.989865	0.994907	0.989899	0.994924
-1	Les Républicains	0.986622	0.993266	0.986622	0.993266
-1	Die Grünen - Die Grüne Alternative	0.986577	0.993243	0.986577	0.993243
-1	Partij van de Arbeid	0.986532	0.993220	0.989899	0.994924
-1	Europe Écologie	0.986486	0.993197	0.986532	0.993220
-1	Fine Gael Party	0.986486	0.993197	0.986486	0.993197
-1	United Kingdom Independence Party	0.983278	0.991568	0.983278	0.991568
-1	PODEMOS	0.983221	0.991540	0.983221	0.991540
-1	Christlich Demokratische Union Deutschlands	0.983165	0.991511	0.986532	0.993220
-1	Izquierda Unida	0.983165	0.991511	0.983221	0.991540
-1	Sinn Féin	0.983165	0.991511	0.983221	0.991540
-1	Movimento 5 Stelle	0.979933	0.989865	0.989967	0.994958
Arbetarepartiet- Socialdemokraterna	Arbetarepartiet- Socialdemokraterna	1.000000	1.000000	1.000000	1.000000
Arbetarepartiet- Socialdemokraterna	Platforma Obywatelska	0.989691	0.994819	0.993174	0.996575
Arbetarepartiet- Socialdemokraterna	Partija 'VIENOTIBA'	0.989691	0.994819	0.989726	0.994836
Arbetarepartiet- Socialdemokraterna	Democraten 66	0.989691	0.994819	0.983108	0.991482
Arbetarepartiet- Socialdemokraterna	Socialdemokratiet	0.989655	0.994801	0.982877	0.991364
Arbetarepartiet- Socialdemokraterna	Sozialdemokratische Partei Österreichs	0.986254	0.993080	0.989726	0.994836
Arbetarepartiet- Socialdemokraterna	Green Party	0.986254	0.993080	0.979730	0.989761
Arbetarepartiet- Socialdemokraterna	Sozialdemokratische Partei Deutschlands	0.982993	0.991424	0.983108	0.991482
Arbetarepartiet- Socialdemokraterna	Mouvement Démocrate	0.982877	0.991364	0.993151	0.996564
Arbetarepartiet- Socialdemokraterna	Christlich-Soziale Union in Bayern e.V.	0.982818	0.991334	0.986301	0.993103
Arbetarepartiet- Socialdemokraterna	Kansallinen Kokoomus	0.982818	0.991334	0.986301	0.993103
Arbetarepartiet- Socialdemokraterna	Bündnis 90/Die Grünen	0.979661	0.989726	0.983108	0.991482
Arbetarepartiet- Socialdemokraterna	Christlich Demokratische Union Deutschlands	0.979592	0.989691	0.989796	0.994872
Arbetarepartiet- Socialdemokraterna	Partit Nazzjonalista	0.979381	0.989583	0.979452	0.989619
Arbetarepartiet- Socialdemokraterna	-1	0.976351	0.988034	0.983108	0.991482
Arbetarepartiet- Socialdemokraterna	Partij van de Arbeid	0.976271	0.987993	0.979730	0.989761
Arbetarepartiet- Socialdemokraterna	Partido Popular	0.976109	0.987910	0.979730	0.989761
Arbetarepartiet- Socialdemokraterna	Labour Party	0.972973	0.986301	0.979798	0.989796
Arbetarepartiet- Socialdemokraterna	Parti socialiste	0.972881	0.986254	0.983108	0.991482
Arbetarepartiet- Socialdemokraterna	Christen Democratisch Appel	0.972881	0.986254	0.979730	0.989761
Bündnis 90/Die Grünen	Bündnis 90/Die Grünen	1.000000	1.000000	1.000000	1.000000
Bündnis 90/Die Grünen	-1	0.996622	0.998308	0.993266	0.996622
Bündnis 90/Die Grünen	Sozialdemokratische Partei Deutschlands	0.996610	0.998302	1.000000	1.000000
Bündnis 90/Die Grünen	Christen Democratisch Appel	0.993220	0.996599	0.996622	0.998308
Bündnis 90/Die Grünen	Parti socialiste	0.993220	0.996599	0.993266	0.996622
Bündnis 90/Die Grünen	Independent	0.989933	0.994941	0.993289	0.996633
Bündnis 90/Die Grünen	Les Républicains	0.989933	0.994941	0.993289	0.996633
Bündnis 90/Die Grünen	Partido Socialista Obrero Espanol	0.989933	0.994941	0.993289	0.996633
Bündnis 90/Die Grünen	Partito Democratico	0.989933	0.994941	0.993289	0.996633
Bündnis 90/Die Grünen	Die Grünen - Die Grüne Alternative	0.989899	0.994924	0.993266	0.996622
Bündnis 90/Die Grünen	Partij van de Arbeid	0.989865	0.994907	0.996622	0.998308
Bündnis 90/Die Grünen	Europe Écologie	0.989831	0.994889	0.986532	0.993220
Bündnis 90/Die Grünen	Fine Gael Party	0.989831	0.994889	0.986486	0.993197
Bündnis 90/Die Grünen	Labour Party	0.986532	0.993220	0.996633	0.998314
Bündnis 90/Die Grünen	Izquierda Unida	0.986486	0.993197	0.989899	0.994924
Bündnis 90/Die Grünen	Sinn Féin	0.986486	0.993197	0.989899	0.994924
Bündnis 90/Die Grünen	Christlich Demokratische Union Deutschlands	0.986486	0.993197	0.986532	0.993220
Bündnis 90/Die Grünen	Democraten 66	0.983051	0.991453	1.000000	1.000000
Bündnis 90/Die Grünen	Partido Popular	0.983051	0.991453	0.989899	0.994924
Bündnis 90/Die Grünen	Platforma Obywatelska	0.983051	0.991453	0.989865	0.994907
Christen Democratisch Appel	Christen Democratisch Appel	1.000000	1.000000	0.996622	0.998308
Christen Democratisch Appel	Bündnis 90/Die Grünen	0.993220	0.996599	0.993266	0.996622
Christen Democratisch Appel	Parti socialiste	0.993197	0.996587	0.993266	0.996622
Christen Democratisch Appel	Die Grünen - Die Grüne Alternative	0.989865	0.994907	0.993266	0.996622
Christen Democratisch Appel	-1	0.989865	0.994907	0.986577	0.993243
Christen Democratisch Appel	Sozialdemokratische Partei Deutschlands	0.989831	0.994889	0.993266	0.996622
Christen Democratisch Appel	Europe Écologie	0.989796	0.994872	0.986532	0.993220
Christen Democratisch Appel	Fine Gael Party	0.989796	0.994872	0.986486	0.993197
Christen Democratisch Appel	Partido Popular	0.989761	0.994854	0.996622	0.998308
Christen Democratisch Appel	Sinn Féin	0.986441	0.993174	0.989899	0.994924
Christen Democratisch Appel	Independent	0.983221	0.991540	0.993289	0.996633
Christen Democratisch Appel	Les Républicains	0.983221	0.991540	0.993289	0.996633
Christen Democratisch Appel	Partido Socialista Obrero Espanol	0.983221	0.991540	0.993289	0.996633
Christen Democratisch Appel	Partito Democratico	0.983221	0.991540	0.993289	0.996633
Christen Democratisch Appel	Partij van de Arbeid	0.983108	0.991482	0.989899	0.994924
Christen Democratisch Appel	Mouvement Démocrate	0.982993	0.991424	0.976431	0.988075
Christen Democratisch Appel	Labour Party	0.979798	0.989796	0.989933	0.994941
Christen Democratisch Appel	Izquierda Unida	0.979730	0.989761	0.989899	0.994924
Christen Democratisch Appel	Christlich Demokratische Union Deutschlands	0.979730	0.989761	0.986532	0.993220
Christen Democratisch Appel	Österreichische Volkspartei	0.979730	0.989761	0.986532	0.993220
Christlich Demokratische Union Deutschlands	Christlich Demokratische Union Deutschlands	1.000000	1.000000	1.000000	1.000000
Christlich Demokratische Union Deutschlands	Bündnis 90/Die Grünen	0.986486	0.993197	0.986532	0.993220
Christlich Demokratische Union Deutschlands	Conservative Party	0.986486	0.993197	0.986532	0.993220
Christlich Demokratische Union Deutschlands	Independent	0.983221	0.991540	0.986577	0.993243
Christlich Demokratische Union Deutschlands	Les Républicains	0.983221	0.991540	0.986577	0.993243
