party_1	eu_2	fj_avg	bc_avg	fj_real	bc_real
-1	ALDE/ADLE	0.969799	0.984668	0.993289	0.996633
-1	Greens/EFA	0.969799	0.984668	0.989967	0.994958
-1	S&D	0.969799	0.984668	0.989967	0.994958
-1	ECR	0.969799	0.984668	0.986622	0.993266
-1	EPP	0.966555	0.982993	0.989967	0.994958
-1	GUE-NGL	0.966555	0.982993	0.989967	0.994958
-1	EFDD	0.963211	0.981261	0.989967	0.994958
-1	NI	0.963211	0.981261	0.989967	0.994958
Arbetarepartiet- Socialdemokraterna	ALDE/ADLE	0.973154	0.986395	0.976510	0.988115
Arbetarepartiet- Socialdemokraterna	ECR	0.973154	0.986395	0.976510	0.988115
Arbetarepartiet- Socialdemokraterna	Greens/EFA	0.973154	0.986395	0.973244	0.986441
Arbetarepartiet- Socialdemokraterna	S&D	0.973154	0.986395	0.973244	0.986441
Arbetarepartiet- Socialdemokraterna	EPP	0.969900	0.984720	0.973244	0.986441
Arbetarepartiet- Socialdemokraterna	GUE-NGL	0.969900	0.984720	0.973244	0.986441
Arbetarepartiet- Socialdemokraterna	EFDD	0.966555	0.982993	0.973244	0.986441
Arbetarepartiet- Socialdemokraterna	NI	0.966555	0.982993	0.973244	0.986441
Bündnis 90/Die Grünen	ALDE/ADLE	0.986577	0.993243	0.993289	0.996633
Bündnis 90/Die Grünen	ECR	0.986577	0.993243	0.993289	0.996633
Bündnis 90/Die Grünen	Greens/EFA	0.986577	0.993243	0.989967	0.994958
Bündnis 90/Die Grünen	S&D	0.986577	0.993243	0.989967	0.994958
Bündnis 90/Die Grünen	EPP	0.983278	0.991568	0.989967	0.994958
Bündnis 90/Die Grünen	GUE-NGL	0.983278	0.991568	0.989967	0.994958
Bündnis 90/Die Grünen	EFDD	0.979933	0.989865	0.989967	0.994958
Bündnis 90/Die Grünen	NI	0.979933	0.989865	0.989967	0.994958
Christen Democratisch Appel	ALDE/ADLE	0.989933	0.994941	0.993289	0.996633
Christen Democratisch Appel	ECR	0.989933	0.994941	0.993289	0.996633
Christen Democratisch Appel	Greens/EFA	0.989933	0.994941	0.989967	0.994958
Christen Democratisch Appel	S&D	0.989933	0.994941	0.989967	0.994958
Christen Democratisch Appel	EPP	0.986622	0.993266	0.989967	0.994958
Christen Democratisch Appel	GUE-NGL	0.986622	0.993266	0.989967	0.994958
Christen Democratisch Appel	EFDD	0.983278	0.991568	0.989967	0.994958
Christen Democratisch Appel	NI	0.983278	0.991568	0.989967	0.994958
